City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Cidreira,BR,-30.18,-50.21,58.66,90,100,3.33,overcast clouds,0.0,0
72,Clyde River,CA,70.47,-68.59,57.2,58,20,3.36,few clouds,0.0,0
73,Kangaatsiaq,GL,68.31,-53.46,44.8,78,100,8.79,overcast clouds,0.0,0
74,Bredasdorp,ZA,-34.53,20.04,50.0,76,0,3.36,clear sky,0.0,0
75,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,20,3.36,few clouds,0.0,0
76,Bonavista,CA,48.65,-53.11,55.99,84,7,5.99,clear sky,0.0,0
77,Surt,LY,31.21,16.59,76.96,76,0,15.46,clear sky,0.0,0
78,Bethel,US,41.37,-73.41,84.99,74,75,10.29,broken clouds,0.0,0
79,Egvekinot,RU,66.32,-179.17,54.9,53,89,3.09,overcast clouds,0.0,0
80,Constitucion,CL,-35.33,-72.42,52.7,62,100,8.21,overcast clouds,0.0,0
81,Kapaa,US,22.08,-159.32,80.6,69,40,16.11,scattered clouds,0.0,0
82,Chokurdakh,RU,70.63,147.92,46.76,75,81,9.15,broken clouds,0.0,0
83,Piterka,RU,50.68,47.45,72.5,74,1,13.87,clear sky,0.0,0
84,Asau,RO,46.43,26.4,69.01,70,0,3.71,clear sky,0.0,0
85,San Rafael,AR,-34.62,-68.33,54.79,39,100,6.08,overcast clouds,0.0,0
86,Pangody,RU,65.85,74.49,55.42,70,0,7.87,clear sky,0.0,0
87,Chichimila,MX,20.62,-88.22,100.92,27,0,2.37,clear sky,0.0,0
88,Salalah,OM,17.02,54.09,80.6,100,90,5.82,light intensity drizzle,0.0,0
89,Chiredzi,ZW,-21.05,31.67,69.17,24,0,7.45,clear sky,0.0,0
90,Acaponeta,MX,22.5,-105.36,102.18,35,0,5.97,clear sky,0.0,0
91,La Ronge,CA,55.1,-105.28,71.6,56,75,14.99,broken clouds,0.0,0
92,Havre-Saint-Pierre,CA,50.23,-63.6,78.8,61,1,10.29,clear sky,0.0,0
93,Aklavik,CA,68.22,-135.01,53.6,66,40,4.7,scattered clouds,0.0,0
94,Sisimiut,GL,66.94,-53.67,47.98,68,90,6.98,overcast clouds,0.0,0
95,Hovd,MN,48.01,91.64,67.14,42,83,7.16,broken clouds,0.0,0
96,Santiago De Cao,PE,-7.96,-79.24,65.05,74,8,13.47,clear sky,0.0,0
97,Joensuu,FI,62.6,29.76,55.99,100,90,8.05,heavy intensity shower rain,0.0,0
98,Loralai,PK,30.37,68.6,85.39,20,0,6.11,clear sky,0.0,0
99,Barrow,US,71.29,-156.79,33.8,86,90,5.82,mist,0.0,0
100,Puerto Ayora,EC,-0.74,-90.35,70.0,88,98,3.0,overcast clouds,0.0,0
101,Gweta,BW,-20.18,25.23,55.27,37,0,9.15,clear sky,0.0,0
102,Pevek,RU,69.7,170.31,47.39,79,99,2.66,overcast clouds,0.0,0
103,Islamkot,PK,24.7,70.18,86.68,69,100,23.04,overcast clouds,0.0,0
104,Rovaniemi,FI,66.5,25.72,57.2,58,0,5.82,clear sky,0.0,0
105,Fortuna,US,40.6,-124.16,63.0,93,90,12.75,overcast clouds,0.0,0
106,Farafenni,GM,13.57,-15.6,84.99,66,100,10.98,light rain,0.96,0
107,Airai,TL,-8.93,125.41,57.9,100,43,3.91,scattered clouds,0.0,0
108,Sunggal,ID,3.58,98.62,75.2,100,40,9.17,scattered clouds,0.0,0
109,Otavi,NA,-19.65,17.33,55.09,33,0,10.18,clear sky,0.0,0
110,Pamekasan,ID,-7.16,113.47,77.68,84,16,5.08,few clouds,0.0,0
111,Grindavik,IS,63.84,-22.43,51.8,87,75,12.75,light intensity drizzle,0.0,0
112,Kadnikov,RU,59.5,40.34,65.17,97,5,10.0,light rain,0.45,0
113,Campbell River,CA,50.02,-125.24,57.99,93,90,4.7,light rain,0.0,0
114,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,20,16.11,few clouds,0.0,0
115,Victoria Point,AU,-27.58,153.3,57.99,88,7,5.79,clear sky,0.0,0
116,Port Elizabeth,ZA,-33.92,25.57,51.8,76,49,17.22,light rain,0.11,0
117,Ormara,PK,25.21,64.64,84.09,82,100,16.96,overcast clouds,0.0,0
118,Kukuna,SL,9.4,-12.67,73.33,96,100,5.35,light rain,0.31,0
119,Viedma,AR,-40.81,-63.0,51.15,42,100,23.69,overcast clouds,0.0,0
