City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cap Malheureux,MU,2020-07-08 20:08:21,-19.98,57.61,68.0,73,4,5.99
70,Saint George,US,2020-07-08 20:05:51,37.1,-113.58,99.0,7,1,5.82
71,Thai Nguyen,VN,2020-07-08 20:08:22,21.59,105.84,86.0,74,100,8.05
72,Bambous Virieux,MU,2020-07-08 20:08:22,-20.34,57.76,71.6,56,40,11.41
73,Columbus,US,2020-07-08 20:06:23,39.96,-83.0,93.99,49,20,5.82
74,Luderitz,NA,2020-07-08 20:06:51,-26.65,15.16,59.0,67,0,2.24
75,Port Alfred,ZA,2020-07-08 20:06:34,-33.59,26.89,67.82,41,0,14.36
76,Port Lincoln,AU,2020-07-08 20:06:02,-34.73,135.87,49.71,54,0,14.65
77,Alpena,US,2020-07-08 20:05:49,45.06,-83.43,89.6,43,1,6.93
78,Upernavik,GL,2020-07-08 20:05:54,72.79,-56.15,42.8,69,26,11.3
79,Saldanha,ZA,2020-07-08 20:08:22,-33.01,17.94,55.4,66,50,1.12
80,Severobaykalsk,RU,2020-07-08 20:08:23,55.65,109.32,53.73,91,94,2.37
81,Taian,CN,2020-07-08 20:08:23,36.19,117.12,84.0,49,100,4.63
82,Bronnoysund,NO,2020-07-08 20:08:23,65.46,12.2,50.0,87,40,10.29
83,Bluff,NZ,2020-07-08 20:05:54,-46.6,168.33,39.0,83,90,3.0
84,Tommot,RU,2020-07-08 20:05:53,58.96,126.29,53.82,89,60,2.93
85,Konevo,RU,2020-07-08 20:08:23,62.12,39.32,57.45,97,94,4.94
86,Cidreira,BR,2020-07-08 20:05:56,-30.18,-50.21,58.26,86,81,21.65
87,Hithadhoo,MV,2020-07-08 20:06:05,-0.6,73.08,84.97,68,0,4.23
88,Puerto Ayora,EC,2020-07-08 20:06:04,-0.74,-90.35,71.01,89,88,5.01
89,New Norfolk,AU,2020-07-08 20:06:37,-42.78,147.06,35.01,92,23,2.62
90,Alegrete,BR,2020-07-08 20:08:24,-29.78,-55.79,52.47,82,90,4.79
91,Matara,LK,2020-07-08 20:08:24,5.95,80.54,79.7,88,100,10.0
92,Thompson,CA,2020-07-08 20:05:57,55.74,-97.86,78.8,36,75,5.82
93,Jamestown,US,2020-07-08 20:04:49,42.1,-79.24,84.2,54,1,5.82
94,Bol,TD,2020-07-08 20:08:25,13.46,14.71,84.74,63,0,1.79
95,Handia,IN,2020-07-08 20:08:25,25.38,82.18,88.93,66,55,4.32
96,Shubarshi,KZ,2020-07-08 20:08:25,48.59,57.19,73.22,59,91,15.37
97,Trincomalee,LK,2020-07-08 20:08:25,8.57,81.23,80.73,83,100,10.02
98,Hualmay,PE,2020-07-08 20:08:25,-11.1,-77.61,66.52,69,12,11.79
99,Hamilton,US,2020-07-08 20:08:25,39.18,-84.53,93.99,55,40,5.82
100,Mackay,AU,2020-07-08 20:08:26,-21.15,149.2,66.2,93,75,12.75
101,Huilong,CN,2020-07-08 20:08:26,31.81,121.66,80.01,98,92,1.01
102,Sao Miguel Do Araguaia,BR,2020-07-08 20:08:26,-13.28,-50.16,85.55,34,0,2.73
103,Bredasdorp,ZA,2020-07-08 20:08:26,-34.53,20.04,48.2,81,100,3.36
104,Kawalu,ID,2020-07-08 20:08:26,-7.38,108.21,71.02,92,96,1.32
105,Natal,BR,2020-07-08 20:08:26,-5.79,-35.21,82.4,65,0,13.87
106,Tessalit,ML,2020-07-08 20:08:26,20.2,1.01,93.36,10,0,5.53
107,Kaz,RU,2020-07-08 20:08:26,52.91,87.31,55.58,93,46,1.99
108,Miandrivazo,MG,2020-07-08 20:08:27,-19.52,45.47,74.59,40,0,3.2
109,Provideniya,RU,2020-07-08 20:08:27,64.38,-173.3,42.8,93,90,4.47
110,Lorengau,PG,2020-07-08 20:05:57,-2.02,147.27,81.73,81,93,12.46
111,Arraial Do Cabo,BR,2020-07-08 20:05:52,-22.97,-42.03,82.4,61,0,20.8
112,Lebu,CL,2020-07-08 20:08:27,-37.62,-73.65,50.34,74,100,10.11
113,Walvis Bay,NA,2020-07-08 20:08:27,-22.96,14.51,54.0,93,0,1.12
114,Ribeira Grande,PT,2020-07-08 20:08:27,38.52,-28.7,69.8,77,75,9.17
115,Cape Town,ZA,2020-07-08 20:05:06,-33.93,18.42,55.4,82,82,2.24
116,Coquimbo,CL,2020-07-08 20:08:27,-29.95,-71.34,60.8,63,0,12.75
117,Khatanga,RU,2020-07-08 20:08:28,71.97,102.5,59.04,57,3,16.31
118,Taoudenni,ML,2020-07-08 20:08:28,22.68,-3.98,99.97,8,0,12.55
119,Sabang,ID,2020-07-08 20:08:28,5.89,95.32,82.94,66,26,6.78
120,Mujiayingzi,CN,2020-07-08 20:08:28,42.12,118.78,64.78,66,8,4.41
121,Piranhas,BR,2020-07-08 20:08:28,-16.43,-51.82,86.25,29,29,5.57
122,Kieta,PG,2020-07-08 20:08:28,-6.22,155.63,78.46,78,65,3.87
123,Jalu,LY,2020-07-08 20:08:28,29.03,21.55,81.48,53,1,17.92
124,Severo-Yeniseyskiy,RU,2020-07-08 20:08:29,60.37,93.04,49.62,98,23,6.87
125,Coihaique,CL,2020-07-08 20:05:59,-45.58,-72.07,41.0,65,75,3.36
126,Shahr-E Kord,IR,2020-07-08 20:08:29,32.33,50.86,73.4,23,40,9.17
127,Kapaa,US,2020-07-08 20:08:29,22.08,-159.32,80.6,69,40,16.11
128,Marystown,CA,2020-07-08 20:08:29,47.17,-55.15,61.36,73,16,7.74
129,Olinda,BR,2020-07-08 20:08:29,-8.01,-34.86,80.6,78,20,10.29
130,Jacareacanga,BR,2020-07-08 20:08:30,-6.22,-57.75,89.73,45,37,4.0
131,Faanui,PF,2020-07-08 20:08:30,-16.48,-151.75,76.53,80,58,29.48
132,Maraba,BR,2020-07-08 20:08:30,-5.37,-49.12,93.2,41,40,3.36
133,Kologriv,RU,2020-07-08 20:08:30,58.83,44.32,76.55,75,0,8.77
134,Iskateley,RU,2020-07-08 20:08:30,67.68,53.15,63.73,91,97,7.14
135,Victoria,HK,2020-07-08 20:06:28,22.29,114.16,86.0,74,100,17.0
136,Tumen,CN,2020-07-08 20:08:30,42.97,129.84,57.69,82,54,2.17
137,Longyearbyen,SJ,2020-07-08 20:06:16,78.22,15.64,44.6,81,75,5.82
138,Eshowe,ZA,2020-07-08 20:08:31,-28.89,31.47,53.96,86,0,9.93
139,Yambio,SS,2020-07-08 20:08:31,4.57,28.4,67.95,94,44,2.46
140,Cururupu,BR,2020-07-08 20:08:31,-1.83,-44.87,82.78,68,5,4.32
141,Tasiilaq,GL,2020-07-08 20:08:31,65.61,-37.64,46.4,61,20,16.11
142,Severo-Kurilsk,RU,2020-07-08 20:08:31,50.68,156.12,47.77,92,100,15.37
143,Khandyga,RU,2020-07-08 20:08:31,62.67,135.6,56.61,87,78,2.66
144,Fairbanks,US,2020-07-08 20:08:31,64.84,-147.72,57.99,76,90,5.82
145,Chokurdakh,RU,2020-07-08 20:06:17,70.63,147.92,44.64,81,94,9.04
146,Dingle,PH,2020-07-08 20:08:32,11.0,122.67,77.34,84,100,3.0
147,Bolgatanga,GH,2020-07-08 20:08:32,10.79,-0.85,82.53,71,36,5.48
148,Port Elizabeth,ZA,2020-07-08 20:05:59,-33.92,25.57,59.0,82,0,10.29
149,Vila Do Maio,CV,2020-07-08 20:08:32,15.13,-23.22,82.4,78,75,8.05
150,Koubia,GN,2020-07-08 20:08:32,11.58,-11.9,73.36,94,80,3.91
151,Sambava,MG,2020-07-08 20:06:58,-14.27,50.17,72.37,88,11,11.83
152,Bethel,US,2020-07-08 20:05:21,41.37,-73.41,77.0,88,90,10.29
153,Lompoc,US,2020-07-08 20:08:33,34.64,-120.46,64.99,72,8,11.41
154,Codrington,AU,2020-07-08 20:07:14,-38.27,141.97,40.35,92,0,7.96
155,Salalah,OM,2020-07-08 20:05:53,17.02,54.09,82.4,88,75,5.82
156,Zheleznodorozhnyy,RU,2020-07-08 20:08:33,55.75,38.0,66.2,88,75,11.18
157,Sioux Lookout,CA,2020-07-08 20:05:21,50.1,-91.92,80.6,61,75,10.29
158,Alamosa,US,2020-07-08 20:08:34,37.47,-105.87,82.4,8,1,9.17
159,Norman Wells,CA,2020-07-08 20:08:34,65.28,-126.83,64.4,52,75,14.99
160,Dikson,RU,2020-07-08 20:08:34,73.51,80.55,42.75,87,54,15.14
161,Touros,BR,2020-07-08 20:08:34,-5.2,-35.46,82.4,69,20,11.41
162,Seminole,US,2020-07-08 20:08:34,28.71,-81.21,87.01,78,20,10.29
163,Grindavik,IS,2020-07-08 20:06:00,63.84,-22.43,48.2,76,75,16.11
164,Urucara,BR,2020-07-08 20:08:34,-2.54,-57.76,89.53,56,90,2.55
165,Hokitika,NZ,2020-07-08 20:08:35,-42.72,170.97,38.57,73,0,5.1
166,Chuy,UY,2020-07-08 20:06:14,-33.7,-53.46,48.81,93,100,14.52
167,Kodiak,US,2020-07-08 20:06:16,57.79,-152.41,60.8,59,40,12.75
168,Jais,IN,2020-07-08 20:08:35,26.25,81.53,89.65,63,2,4.59
169,Chara,RU,2020-07-08 20:06:21,56.91,118.26,61.84,79,100,2.91
170,Mackenzie,CA,2020-07-08 20:08:35,55.3,-123.17,62.6,63,90,10.29
171,Mercedes,AR,2020-07-08 20:08:36,-34.65,-59.43,54.0,69,71,4.85
172,Ndele,CF,2020-07-08 20:08:36,8.41,20.65,71.02,95,100,4.54
173,Iqaluit,CA,2020-07-08 20:06:02,63.75,-68.51,44.6,93,90,3.36
174,Oistins,BB,2020-07-08 20:08:36,13.07,-59.53,87.8,62,75,20.8
175,Puerto Del Rosario,ES,2020-07-08 20:08:36,28.5,-13.86,80.6,57,0,12.75
176,Quilmana,PE,2020-07-08 20:08:37,-12.95,-76.38,68.9,60,11,7.61
177,Lander,US,2020-07-08 20:07:00,42.83,-108.73,84.2,10,1,19.46
178,San Vicente,AR,2020-07-08 20:08:37,-26.62,-54.13,52.54,83,92,4.74
179,Sur,OM,2020-07-08 20:08:37,22.57,59.53,86.11,69,100,16.58
180,Bang Len,TH,2020-07-08 20:08:38,14.02,100.17,84.2,83,20,5.82
181,Lodingen,NO,2020-07-08 20:08:38,68.41,16.0,55.4,62,97,13.87
182,Talnakh,RU,2020-07-08 20:08:38,69.49,88.4,50.0,81,29,20.13
183,Srednekolymsk,RU,2020-07-08 20:08:38,67.45,153.68,59.99,67,100,10.13
184,Great Bend,US,2020-07-08 20:08:38,38.36,-98.76,95.0,52,1,19.46
185,Brawley,US,2020-07-08 20:08:39,32.98,-115.53,102.0,10,1,6.93
186,Geraldton,AU,2020-07-08 20:08:39,-28.77,114.6,48.2,93,0,5.82
187,Vestmannaeyjar,IS,2020-07-08 20:06:54,63.44,-20.27,50.45,79,0,21.3
188,Itoman,JP,2020-07-08 20:08:39,26.12,127.67,82.4,94,75,11.41
189,Torbay,CA,2020-07-08 20:06:28,47.67,-52.73,63.0,63,40,12.75
190,Tautira,PF,2020-07-08 20:05:54,-17.73,-149.15,80.6,65,20,4.7
191,Cardonal,MX,2020-07-08 20:08:40,20.6,-99.13,75.02,50,64,7.2
192,Bubaque,GW,2020-07-08 20:04:04,11.28,-15.83,82.96,85,69,20.67
193,Atbasar,KZ,2020-07-08 20:08:40,51.8,68.33,65.17,69,9,7.49
194,Kruisfontein,ZA,2020-07-08 20:08:40,-34.0,24.73,59.14,38,0,9.57
195,Lasa,IT,2020-07-08 20:06:01,46.62,10.7,64.4,52,18,4.7
196,Santa Fe,AR,2020-07-08 20:08:40,-31.63,-60.7,59.0,46,71,1.99
197,Portel,BR,2020-07-08 20:08:41,-1.94,-50.82,84.49,72,55,3.53
198,Eureka,US,2020-07-08 20:08:41,40.8,-124.16,68.0,79,2,3.0
199,Aksu,CN,2020-07-08 20:05:58,41.12,80.26,78.6,24,12,6.35
200,Santa Cruz Del Sur,CU,2020-07-08 20:08:41,20.71,-78.0,89.51,61,46,5.95
201,Husavik,IS,2020-07-08 20:08:41,66.04,-17.34,59.0,51,20,12.75
202,Kinablangan,PH,2020-07-08 20:08:42,7.69,126.55,78.28,80,98,4.72
203,Labuan,MY,2020-07-08 20:08:42,5.28,115.24,78.8,100,20,1.12
204,Gornoye Loo,RU,2020-07-08 20:08:42,43.71,39.6,68.0,88,40,6.71
205,Tiznit,MA,2020-07-08 20:08:42,29.58,-9.5,83.62,26,0,4.52
206,Qostanay,KZ,2020-07-08 20:08:43,53.17,63.58,67.66,79,0,5.73
207,Fort Nelson,CA,2020-07-08 20:08:43,58.81,-122.7,59.0,93,75,4.7
208,Rocha,UY,2020-07-08 20:08:43,-34.48,-54.33,46.72,91,100,14.5
209,Mangrol,IN,2020-07-08 20:08:43,21.12,70.12,83.84,80,13,18.1
210,Marzuq,YE,2020-07-08 20:08:43,14.4,46.47,84.65,35,74,3.69
211,Ponta Do Sol,PT,2020-07-08 20:06:09,32.67,-17.1,73.0,73,0,4.25
212,Esperance,AU,2020-07-08 20:08:44,-33.87,121.9,50.0,100,75,9.17
213,Port Hardy,CA,2020-07-08 20:08:44,50.7,-127.42,59.0,87,90,3.36
214,Grand Gaube,MU,2020-07-08 20:03:59,-20.01,57.66,68.0,72,4,5.99
215,Westport,US,2020-07-08 20:08:19,41.14,-73.36,79.0,78,90,9.17
216,Knysna,ZA,2020-07-08 20:08:44,-34.04,23.05,50.0,76,22,3.36
217,Nara,JP,2020-07-08 20:08:44,34.69,135.8,73.99,96,100,2.59
218,Louis Trichardt,ZA,2020-07-08 20:08:44,-23.04,29.9,54.5,89,95,10.78
219,Guayaramerin,BO,2020-07-08 20:08:45,-10.84,-65.36,91.02,42,40,3.06
220,Namibe,AO,2020-07-08 20:08:45,-15.2,12.15,65.91,85,0,3.04
221,Acala,MX,2020-07-08 20:08:45,16.57,-92.8,89.6,55,75,2.15
222,Bani,DO,2020-07-08 20:08:45,18.28,-70.33,91.4,59,75,11.41
223,Nha Trang,VN,2020-07-08 20:07:34,12.25,109.18,80.6,83,20,1.12
224,Ibadan,NG,2020-07-08 20:05:07,7.39,3.9,72.48,97,100,3.29
225,Sembe,CG,2020-07-08 20:08:46,1.65,14.58,74.28,70,12,0.31
226,Vrangel,RU,2020-07-08 20:06:44,42.73,133.08,61.27,83,17,4.0
227,Ancud,CL,2020-07-08 20:07:24,-41.87,-73.82,48.99,81,20,8.05
228,Bonthe,SL,2020-07-08 20:08:46,7.53,-12.51,77.25,89,100,11.01
229,Vzmorye,RU,2020-07-08 20:08:46,54.7,20.24,55.4,82,40,6.71
230,Ilulissat,GL,2020-07-08 20:08:47,69.22,-51.1,55.4,43,75,14.99
231,Brigantine,US,2020-07-08 20:08:47,39.41,-74.36,84.2,66,20,11.41
232,Joshimath,IN,2020-07-08 20:08:47,30.57,79.57,64.78,58,47,0.4
233,Isangel,VU,2020-07-08 20:08:47,-19.55,169.27,64.4,100,75,3.36
234,Ippy,CF,2020-07-08 20:07:13,6.27,21.22,69.89,93,100,1.3
235,Airai,TL,2020-07-08 20:08:48,-8.93,125.41,54.07,100,32,3.65
236,Olafsvik,IS,2020-07-08 20:08:48,64.89,-23.71,48.92,72,5,13.94
237,Porto De Moz,BR,2020-07-08 20:08:48,-1.75,-52.24,81.99,88,76,2.39
238,Kavaratti,IN,2020-07-08 20:06:03,10.57,72.64,83.26,76,100,14.99
239,East London,ZA,2020-07-08 20:08:48,-33.02,27.91,67.48,51,0,14.61
240,Virginia Beach,US,2020-07-08 20:04:59,36.85,-75.98,86.0,66,75,11.41
241,Cherskiy,RU,2020-07-08 20:08:49,68.75,161.3,66.13,49,52,10.27
242,Nur,PL,2020-07-08 20:08:49,52.67,22.32,52.02,89,0,7.16
243,Alofi,NU,2020-07-08 20:08:49,-19.06,-169.92,75.2,94,75,5.82
244,Craig,US,2020-07-08 20:08:49,40.52,-107.55,89.6,6,1,20.8
245,Russell,US,2020-07-08 20:08:49,32.35,-85.2,84.2,88,75,3.36
246,Puerto Madero,MX,2020-07-08 20:08:50,14.72,-92.42,89.6,66,40,10.29
247,Mar Del Plata,AR,2020-07-08 20:05:47,-38.0,-57.56,48.2,66,75,6.93
248,Palmer,US,2020-07-08 20:05:50,42.16,-72.33,84.2,66,75,12.75
249,Marsaxlokk,MT,2020-07-08 20:08:50,35.84,14.54,77.0,78,0,3.36
250,Maralal,KE,2020-07-08 20:08:50,1.1,36.7,61.9,80,100,4.68
251,Deputatskiy,RU,2020-07-08 20:08:50,69.3,139.9,45.93,93,86,2.66
252,Kushima,JP,2020-07-08 20:08:50,31.46,131.23,73.06,94,100,3.83
253,Fereydun Kenar,IR,2020-07-08 20:05:05,36.69,52.52,77.0,83,0,4.7
254,Les Cayes,HT,2020-07-08 20:08:51,18.2,-73.75,87.51,63,29,8.48
255,Olavarria,AR,2020-07-08 20:08:51,-36.89,-60.32,45.0,82,86,1.99
256,Marawi,PH,2020-07-08 20:06:53,8.0,124.29,75.99,89,98,4.0
257,Seoul,KR,2020-07-08 20:07:14,37.57,126.98,71.6,88,75,0.38
258,Guerrero Negro,MX,2020-07-08 20:08:51,27.98,-114.06,83.3,37,0,13.67
259,Tres Arroyos,AR,2020-07-08 20:08:51,-38.37,-60.28,45.93,66,100,11.36
260,Bonavista,CA,2020-07-08 20:08:52,48.65,-53.11,55.0,85,0,4.0
261,Kavieng,PG,2020-07-08 20:05:18,-2.57,150.8,81.75,78,1,10.87
262,Avarua,CK,2020-07-08 20:06:06,-21.21,-159.78,75.2,64,52,20.8
263,Torquay,GB,2020-07-08 20:08:52,50.46,-3.51,63.0,93,95,3.0
264,Svay Rieng,KH,2020-07-08 20:08:52,11.09,105.8,77.5,86,100,2.01
265,Qasigiannguit,GL,2020-07-08 20:06:04,68.82,-51.19,55.4,43,75,14.99
266,Dobson,US,2020-07-08 20:05:43,36.4,-80.72,86.0,58,1,11.41
267,Vardo,NO,2020-07-08 20:08:43,70.37,31.11,46.4,100,75,11.41
268,Kaitangata,NZ,2020-07-08 20:08:53,-46.28,169.85,44.01,75,91,4.0
269,North Platte,US,2020-07-08 20:08:53,41.12,-100.77,96.01,36,1,14.99
270,Xingyi,CN,2020-07-08 20:06:25,24.19,102.82,62.4,96,100,3.42
271,Pisco,PE,2020-07-08 20:08:53,-13.7,-76.22,68.0,68,20,11.41
272,Sakaiminato,JP,2020-07-08 20:08:53,35.55,133.23,71.6,94,75,2.24
273,Dudinka,RU,2020-07-08 20:08:53,69.41,86.18,50.0,81,0,20.13
274,Benghazi,LY,2020-07-08 20:08:53,32.12,20.07,77.7,84,0,13.73
275,Capreol,CA,2020-07-08 20:08:53,46.71,-80.92,88.0,40,40,6.93
276,Tanout,NE,2020-07-08 20:08:54,14.97,8.89,93.79,24,0,6.31
277,Ambilobe,MG,2020-07-08 20:06:02,-13.2,49.05,73.09,72,9,8.7
278,Bandarbeyla,SO,2020-07-08 20:06:08,9.49,50.81,80.62,71,27,28.83
279,Tucuman,AR,2020-07-08 20:08:54,-26.82,-65.22,62.6,36,0,11.41
280,Sjovegan,NO,2020-07-08 20:08:54,68.87,17.85,53.6,76,75,5.82
281,Eyl,SO,2020-07-08 20:08:54,7.98,49.82,81.25,69,53,22.97
282,Surt,LY,2020-07-08 20:08:54,31.21,16.59,75.65,85,0,8.86
283,Akureyri,IS,2020-07-08 20:08:55,65.68,-18.09,59.0,51,20,12.75
284,Itaituba,BR,2020-07-08 20:04:52,-4.28,-55.98,83.39,68,86,1.34
285,Necochea,AR,2020-07-08 20:08:55,-38.55,-58.74,46.0,84,54,5.99
286,Balkanabat,TM,2020-07-08 20:08:55,39.51,54.37,87.46,16,0,4.0
287,Keetmanshoop,NA,2020-07-08 20:08:55,-26.58,18.13,62.6,13,0,9.17
288,Broome,US,2020-07-08 20:08:55,42.25,-75.83,87.01,58,20,4.7
289,Mbanza-Ngungu,CD,2020-07-08 20:07:04,-5.25,14.87,73.35,57,0,2.66
290,Cabinda,AO,2020-07-08 20:08:56,-5.55,12.2,73.76,78,0,7.29
291,Scarborough,GB,2020-07-08 20:08:56,54.28,-0.4,54.0,89,99,3.0
292,Ilfracombe,GB,2020-07-08 20:08:56,51.21,-4.11,62.01,100,100,7.0
293,Apomu,NG,2020-07-08 20:08:56,7.33,4.18,72.09,98,100,3.51
294,Roald,NO,2020-07-08 20:08:57,62.58,6.13,51.01,93,75,18.34
295,Hasaki,JP,2020-07-08 20:08:57,35.73,140.83,75.0,100,75,3.36
296,Vila Franca Do Campo,PT,2020-07-08 20:08:57,37.72,-25.43,68.0,72,75,9.17
297,Uspenka,UA,2020-07-08 20:08:57,48.39,39.16,69.31,90,100,9.6
298,Kyren,RU,2020-07-08 20:08:57,51.68,102.14,57.6,76,100,1.39
299,Kahului,US,2020-07-08 20:08:58,20.89,-156.47,77.0,77,9,15.99
300,Palermo,IT,2020-07-08 20:08:58,37.82,13.58,80.01,61,0,1.66
301,Gorontalo,ID,2020-07-08 20:08:58,0.54,123.06,75.47,87,100,1.19
302,Venice,US,2020-07-08 20:08:58,27.1,-82.45,89.6,66,1,12.75
303,Quatre Cocos,MU,2020-07-08 20:08:59,-20.21,57.76,71.6,56,40,11.41
304,Narsaq,GL,2020-07-08 20:08:59,60.92,-46.05,57.2,54,75,5.82
305,Nhulunbuy,AU,2020-07-08 20:08:59,-12.23,136.77,73.4,83,97,9.17
306,Chake Chake,TZ,2020-07-08 20:08:59,-5.25,39.77,75.79,89,35,11.97
