City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
68,68,Guerrero Negro,MX,27.98,-114.06,88.48,26,0,14.29,clear sky,0.0,0
69,69,Saint Anthony,US,45.02,-93.22,84.99,45,1,13.87,clear sky,0.0,0
70,70,Mar Del Plata,AR,-38.0,-57.56,48.99,93,90,14.99,moderate rain,0.0,0
71,71,San Cristobal,VE,7.77,-72.22,89.6,38,40,10.29,scattered clouds,0.0,0
72,72,Vanavara,RU,60.34,102.28,54.7,89,100,14.9,moderate rain,2.38,0
73,73,Hermanus,ZA,-34.42,19.23,51.01,75,88,11.01,light rain,0.5,0
74,74,Qaanaaq,GL,77.48,-69.36,45.66,58,53,3.38,broken clouds,0.0,0
75,75,Kimberley,ZA,-28.73,24.76,60.8,82,0,11.41,clear sky,0.0,0
76,76,Luderitz,,-26.65,15.16,55.4,93,0,14.99,clear sky,0.0,0
77,77,Hobart,AU,-42.88,147.33,39.2,93,90,5.82,overcast clouds,0.0,0
78,78,Bilibino,RU,68.05,166.44,66.58,55,100,2.24,overcast clouds,0.0,0
79,79,Tocopilla,CL,-22.09,-70.2,64.36,53,1,6.22,clear sky,0.0,0
80,80,Nuuk,GL,64.18,-51.72,48.2,81,20,11.41,few clouds,0.0,0
81,81,Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,40,4.7,scattered clouds,0.0,0
82,82,Talnakh,RU,69.49,88.4,51.8,87,0,17.9,clear sky,0.0,0
83,83,Lagoa,PT,39.05,-27.98,68.94,74,0,7.18,clear sky,0.0,0
84,84,Sile,TR,41.18,29.61,75.0,60,0,5.99,clear sky,0.0,0
85,85,Lundazi,ZM,-12.29,33.18,60.75,81,19,5.68,few clouds,0.0,0
86,86,Tiksi,RU,71.69,128.87,40.6,89,100,7.76,overcast clouds,0.0,0
87,87,Jiwani,PK,25.05,61.74,84.96,85,71,7.87,broken clouds,0.0,0
88,88,Clyde River,CA,70.47,-68.59,62.6,42,75,17.22,broken clouds,0.0,0
89,89,East London,ZA,-33.02,27.91,69.35,49,47,25.41,scattered clouds,0.0,0
90,90,Aripuana,BR,-9.17,-60.63,88.05,40,4,2.13,clear sky,0.0,0
91,91,Norsup,VU,-16.07,167.38,77.0,88,40,9.17,scattered clouds,0.0,0
92,92,Ipora,BR,-16.44,-51.12,74.73,35,0,3.04,clear sky,0.0,0
93,93,Lamesa,US,32.74,-101.95,102.99,26,90,12.75,overcast clouds,0.0,0
94,94,Mecca,SA,21.43,39.83,91.51,14,100,8.57,overcast clouds,0.0,0
95,95,Laguna,US,38.42,-121.42,99.0,26,1,4.7,clear sky,0.0,0
96,96,Boende,CD,-0.22,20.87,73.49,91,100,2.39,overcast clouds,0.0,0
97,97,Yeppoon,AU,-23.13,150.73,60.8,82,24,8.05,few clouds,0.0,0
98,98,Yulara,AU,-25.24,130.99,50.0,57,48,9.17,scattered clouds,0.0,0
99,99,Kysyl-Syr,RU,63.9,122.76,64.49,77,67,8.25,broken clouds,0.0,0
100,100,La Ronge,CA,55.1,-105.28,68.54,44,87,6.69,overcast clouds,0.0,0
101,101,Baruun-Urt,MN,46.68,113.28,57.47,85,33,5.68,scattered clouds,0.0,0
102,102,Sozopol,BG,42.42,27.7,69.01,88,0,9.17,clear sky,0.0,0
103,103,Leningradskiy,RU,69.38,178.42,47.07,77,16,10.38,few clouds,0.0,0
104,104,Vaini,TO,-21.2,-175.2,71.6,83,20,9.17,few clouds,0.0,0
105,105,Kahului,US,20.89,-156.47,87.8,45,40,23.04,scattered clouds,0.0,0
106,106,Liverpool,GB,53.41,-2.98,57.2,71,20,11.41,few clouds,0.0,0
107,107,Roros,NO,62.57,11.38,50.0,81,100,2.24,light rain,0.27,0
108,108,Burgeo,CA,47.62,-57.62,59.34,85,30,5.97,scattered clouds,0.0,0
109,109,Nikolskoye,RU,59.7,30.79,57.2,87,75,6.71,light intensity shower rain,0.0,0
110,110,Ust-Kuyga,RU,70.02,135.6,66.97,45,65,3.33,broken clouds,0.0,0
111,111,Saint-Augustin,CA,51.23,-58.65,65.08,78,82,14.36,broken clouds,0.0,0
112,112,Lubao,PH,14.92,120.55,79.0,88,100,1.01,overcast clouds,0.0,0
113,113,Alakurtti,RU,66.97,30.35,50.0,90,97,4.61,light rain,0.27,0
114,114,Kaitangata,NZ,-46.28,169.85,44.01,60,56,1.01,broken clouds,0.0,0
115,115,Mount Gambier,AU,-37.83,140.77,46.99,94,100,5.57,light rain,0.14,0
116,116,Sakakah,SA,29.97,40.21,91.4,11,0,6.93,clear sky,0.0,0
117,117,Zhigansk,RU,66.77,123.37,62.49,64,100,14.32,overcast clouds,0.0,0
118,118,Lata,PT,40.16,-8.33,72.0,70,0,1.01,clear sky,0.0,0
119,119,Hervey Bay,AU,-25.3,152.85,62.01,94,49,4.0,scattered clouds,0.0,0
120,120,Saldanha,ZA,-33.01,17.94,51.8,81,82,5.82,light rain,0.94,0
121,121,Stornoway,GB,58.21,-6.39,54.0,81,43,10.29,scattered clouds,0.0,0
122,122,Avera,US,33.19,-82.53,93.2,52,75,8.05,broken clouds,0.0,0
123,123,Tuatapere,NZ,-46.13,167.68,44.06,82,75,7.05,broken clouds,0.0,0
124,124,Chernyshevskiy,RU,63.01,112.47,56.01,99,95,3.06,overcast clouds,0.0,0
125,125,Mackay,AU,-21.15,149.2,57.0,93,68,7.92,broken clouds,0.0,0
126,126,Sangar,RU,63.92,127.47,61.97,71,100,10.51,overcast clouds,0.0,0
127,127,Fortuna,US,40.6,-124.16,72.0,72,1,14.99,clear sky,0.0,0
128,128,Jamestown,US,42.1,-79.24,86.0,51,75,8.05,broken clouds,0.0,0
129,129,Alofi,NU,-19.06,-169.92,73.4,83,75,13.87,broken clouds,0.0,0
130,130,Faya,SA,18.39,42.45,77.0,38,13,2.82,few clouds,0.0,0
131,131,San Patricio,MX,19.22,-104.7,89.6,66,75,11.41,broken clouds,0.0,0
132,132,Zalantun,CN,48.0,122.72,64.53,83,39,2.82,scattered clouds,0.0,0
133,133,Kamenskiy,RU,50.89,45.49,63.48,82,11,12.59,few clouds,0.0,0
134,134,Havre,FR,49.58,0.33,59.0,72,0,11.41,clear sky,0.0,0
135,135,Aklavik,CA,68.22,-135.01,46.4,87,90,11.41,overcast clouds,0.0,0
136,136,Carlsbad,US,33.16,-117.35,88.0,65,1,10.29,haze,0.0,0
137,137,Pevek,RU,69.7,170.31,47.28,90,84,5.44,broken clouds,0.0,0
138,138,Georgetown,MY,5.41,100.34,80.6,94,40,5.93,scattered clouds,0.0,0
139,139,Vao,NC,-22.67,167.48,68.16,75,6,19.75,light rain,0.17,0
140,140,Klaksvik,FO,62.23,-6.59,48.2,66,64,11.41,broken clouds,0.0,0
141,141,Padang,ID,-0.95,100.35,77.59,81,78,4.81,light rain,0.23,0
142,142,Simao,CN,22.79,100.97,65.17,96,100,2.84,overcast clouds,0.0,0
143,143,Kalakamati,BW,-20.59,27.31,58.32,54,0,7.83,clear sky,0.0,0
144,144,Cherskiy,RU,68.75,161.3,55.31,77,82,8.88,broken clouds,0.0,0
145,145,Saskylakh,RU,71.92,114.08,52.21,72,100,18.25,overcast clouds,0.0,0
146,146,Bluff,NZ,-46.6,168.33,48.72,75,91,22.06,light rain,0.13,0
147,147,Miri,MY,4.41,114.01,75.2,100,40,4.7,light rain,0.0,0
148,148,Nueva Helvecia,UY,-34.3,-57.23,55.0,78,74,1.01,broken clouds,0.0,0
149,149,Bhatkal,IN,13.97,74.57,77.81,87,100,6.02,light rain,0.4,0
150,150,Ajdabiya,LY,30.76,20.23,73.51,67,0,13.56,clear sky,0.0,0
151,151,Half Moon Bay,US,37.46,-122.43,78.01,56,75,9.17,broken clouds,0.0,0
152,152,Castro,BR,-24.79,-50.01,55.0,76,35,2.95,scattered clouds,0.0,0
153,153,Baykit,RU,61.67,96.37,52.3,86,100,5.61,light rain,0.29,0
154,154,Orlik,RU,52.52,99.83,51.51,69,28,1.7,scattered clouds,0.0,0
155,155,Nalut,LY,30.33,10.85,84.07,20,0,11.95,clear sky,0.0,0
156,156,Gelgaudiskis,LT,55.08,22.98,64.45,94,100,11.1,light rain,0.72,0
157,157,Santa Cruz De La Palma,ES,28.68,-17.76,71.6,83,40,19.46,scattered clouds,0.0,0
158,158,Timizart,DZ,36.8,4.27,78.26,38,53,9.86,broken clouds,0.0,0
159,159,Lazaro Cardenas,MX,17.96,-102.2,87.44,69,96,13.67,overcast clouds,0.0,0
160,160,Cidreira,BR,-30.18,-50.21,58.33,82,0,14.65,clear sky,0.0,0
161,161,Haileybury,CA,47.45,-79.64,73.4,88,90,17.22,thunderstorm with light rain,0.0,0
162,162,Cabimas,VE,10.39,-71.44,87.53,60,97,7.92,overcast clouds,0.0,0
163,163,Selty,RU,57.31,52.13,61.29,98,79,4.45,broken clouds,0.0,0
164,164,Provideniya,RU,64.38,-173.3,57.34,63,96,4.68,overcast clouds,0.0,0
165,165,Uribia,CO,11.71,-72.27,93.06,37,1,23.0,clear sky,0.0,0
166,166,Deniliquin,AU,-35.53,144.97,48.99,95,38,6.26,scattered clouds,0.0,0
167,167,Taybad,IR,34.74,60.78,81.55,25,0,20.09,clear sky,0.0,0
168,168,Kargopol,RU,61.51,38.95,51.28,87,0,4.36,clear sky,0.0,0
169,169,Roald,NO,62.58,6.13,53.6,76,75,12.75,broken clouds,0.0,0
170,170,Butaritari,KI,3.07,172.79,83.08,76,100,14.38,moderate rain,2.56,0
171,171,Mayo,US,38.89,-76.51,87.01,69,20,11.41,few clouds,0.0,0
172,172,Verkhnetulomskiy,RU,68.61,31.8,53.6,87,20,4.47,few clouds,0.0,0
173,173,Mahon,ES,39.89,4.27,75.2,83,13,8.05,few clouds,0.0,0
174,174,Zhangye,CN,38.93,100.45,74.5,24,100,2.04,overcast clouds,0.0,0
175,175,Knysna,ZA,-34.04,23.05,55.4,71,95,8.05,light rain,0.26,0
176,176,Ribeira Grande,PT,38.52,-28.7,71.6,73,40,4.7,scattered clouds,0.0,0
177,177,Abonnema,NG,4.71,6.79,73.4,100,75,6.91,broken clouds,0.0,0
178,178,Asau,RO,46.43,26.4,66.0,82,0,3.53,clear sky,0.0,0
